,phase,freq,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1093,mic-3_seal_chirp,13200.0,52.168,51.149,51.575,53.093,50.53,52.955,51.881,50.875,51.301,50.785,64.417,62.782,63.873,63.265,62.147,66.452,68.032,63.477,66.052,67.043
1094,mic-3_seal_chirp,14000.0,58.653,59.054,59.707,60.903,62.497,63.976,64.839,64.178,61.871,62.671,58.463,63.348,55.746,59.096,61.16,58.097,57.485,54.973,57.232,59.323
1095,mic-3_seal_chirp,15000.0,60.327,57.281,60.521,58.793,54.33,54.009,58.333,58.345,55.245,56.992,55.707,58.542,56.317,57.261,59.768,54.047,60.816,57.272,56.726,55.626
1096,mic-3_seal_chirp,16000.0,48.836,47.58,51.533,49.33,48.659,49.336,47.618,47.669,47.592,47.027,51.666,51.345,52.024,49.735,51.853,48.511,51.26,52.603,51.238,51.659
1097,mic-3_seal_chirp,17000.0,47.43,49.342,49.382,48.484,48.819,48.371,46.405,46.007,46.81,46.799,45.837,45.448,45.179,44.73,45.094,46.968,45.084,44.01,45.565,44.723
1098,mic-3_seal_chirp,18000.0,50.957,49.64,50.047,51.361,46.766,49.712,49.587,47.23,48.586,49.384,48.193,48.336,46.905,47.773,47.044,47.989,44.993,43.316,45.474,44.714
1099,mic-3_seal_chirp,19000.0,40.685,39.309,39.531,38.481,38.827,38.128,38.275,38.167,38.877,38.898,43.075,43.522,43.582,43.075,42.749,42.839,43.568,42.77,42.416,41.109
1100,mic-3_seal_chirp,20000.0,43.161,43.292,42.887,41.93,41.959,43.27,42.739,44.233,43.159,42.865,40.909,41.739,40.703,41.337,42.085,42.415,42.716,42.15,40.93,39.302
1101,mic-3_seal_chirp,21200.0,41.059,39.669,39.714,41.418,39.812,40.033,39.701,41.023,39.34,40.385,42.096,41.052,41.342,41.688,41.714,43.011,41.075,41.47,43.364,42.873
1102,mic-3_seal_chirp,22400.0,44.067,40.684,42.438,43.718,46.417,43.909,44.25,44.187,43.962,42.079,48.002,42.652,44.909,41.919,43.833,43.722,43.318,45.464,42.56,42.516
