,phase,freq,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
807,mic-3_fr,5600.0,-34.474,-34.478,-34.476,-34.473,-34.485,-34.481,-34.469,-34.479,-34.492,-34.481,-34.947,-34.954,-34.977,-34.989,-34.992,-34.995,-35.01,-35.011,-35.022,-35.024
808,mic-3_fr,6000.0,-34.442,-34.433,-34.427,-34.436,-34.422,-34.428,-34.437,-34.429,-34.42,-34.419,-34.334,-34.36,-34.388,-34.395,-34.401,-34.399,-34.414,-34.422,-34.427,-34.434
809,mic-3_fr,6300.0,-33.722,-33.713,-33.711,-33.708,-33.705,-33.697,-33.697,-33.697,-33.7,-33.692,-34.225,-34.225,-34.252,-34.275,-34.269,-34.276,-34.3,-34.301,-34.314,-34.324
810,mic-3_fr,6700.0,-32.609,-32.595,-32.588,-32.583,-32.576,-32.573,-32.57,-32.571,-32.571,-32.561,-33.028,-33.051,-33.075,-33.096,-33.092,-33.094,-33.12,-33.115,-33.142,-33.145
811,mic-3_fr,7100.0,-31.657,-31.666,-31.655,-31.655,-31.656,-31.661,-31.648,-31.654,-31.644,-31.656,-32.095,-32.149,-32.171,-32.179,-32.171,-32.17,-32.191,-32.19,-32.199,-32.214
812,mic-3_fr,7500.0,-30.693,-30.692,-30.689,-30.694,-30.701,-30.701,-30.675,-30.688,-30.68,-30.694,-31.039,-31.046,-31.076,-31.094,-31.096,-31.116,-31.157,-31.16,-31.172,-31.186
813,mic-3_fr,8000.0,-30.296,-30.284,-30.298,-30.287,-30.3,-30.291,-30.299,-30.297,-30.298,-30.306,-30.569,-30.647,-30.67,-30.679,-30.677,-30.671,-30.706,-30.701,-30.714,-30.736
814,mic-3_fr,8500.0,-29.178,-29.181,-29.193,-29.203,-29.207,-29.205,-29.206,-29.204,-29.194,-29.217,-29.002,-29.071,-29.11,-29.135,-29.139,-29.125,-29.152,-29.156,-29.161,-29.182
815,mic-3_fr,9000.0,-27.644,-27.627,-27.656,-27.644,-27.665,-27.662,-27.61,-27.645,-27.644,-27.656,-27.559,-27.59,-27.638,-27.676,-27.676,-27.684,-27.737,-27.75,-27.755,-27.783
816,mic-3_fr,9500.0,-26.045,-26.033,-26.023,-26.021,-26.027,-26.021,-25.997,-26.01,-25.99,-26.014,-25.95,-26.019,-26.052,-26.075,-26.054,-26.086,-26.121,-26.123,-26.137,-26.153
817,mic-3_fr,10000.0,-24.773,-24.765,-24.747,-24.752,-24.763,-24.76,-24.749,-24.745,-24.721,-24.738,-24.861,-24.908,-24.938,-24.944,-24.945,-24.959,-24.983,-24.983,-24.988,-25
818,mic-3_fr,10600.0,-23.931,-23.918,-23.907,-23.913,-23.912,-23.908,-23.899,-23.903,-23.891,-23.898,-24.03,-24.054,-24.089,-24.098,-24.1,-24.105,-24.13,-24.132,-24.143,-24.151
819,mic-3_fr,11200.0,-23.42,-23.427,-23.432,-23.433,-23.436,-23.437,-23.429,-23.443,-23.441,-23.444,-23.948,-23.95,-23.92,-23.97,-23.91,-23.951,-23.93,-23.918,-23.928,-23.936
820,mic-3_fr,11800.0,-23.965,-23.963,-23.934,-23.946,-23.944,-23.943,-23.947,-23.947,-23.912,-23.933,-23.929,-23.956,-23.946,-23.921,-23.897,-23.876,-23.88,-23.849,-23.849,-23.845
821,mic-3_fr,12500.0,-30.461,-30.241,-30.119,-30.039,-29.95,-29.935,-29.918,-29.901,-29.845,-29.828,-26.592,-26.626,-26.583,-26.567,-26.529,-26.518,-26.512,-26.469,-26.447,-26.458
822,mic-3_fr,13200.0,-27.424,-27.461,-27.584,-27.512,-27.53,-27.54,-27.461,-27.525,-27.553,-27.567,-27.092,-27.137,-27.102,-27.124,-27.093,-27.097,-27.073,-27.069,-27.067,-27.062
823,mic-3_fr,14000.0,-28.482,-28.498,-28.508,-28.533,-28.549,-28.554,-28.545,-28.577,-28.562,-28.56,-28.685,-28.697,-28.674,-28.675,-28.657,-28.672,-28.664,-28.629,-28.646,-28.646
824,mic-3_fr,15000.0,-31.372,-31.334,-31.336,-31.302,-31.327,-31.306,-31.275,-31.287,-31.306,-31.295,-34.446,-34.507,-34.431,-34.411,-34.364,-34.345,-34.28,-34.295,-34.245,-34.228
825,mic-3_fr,16000.0,-34.26,-34.21,-34.132,-34.123,-34.088,-34.07,-34.007,-34.047,-33.965,-33.991,-32.513,-32.595,-32.573,-32.582,-32.553,-32.547,-32.563,-32.521,-32.538,-32.551
826,mic-3_fr,17000.0,-34.339,-34.32,-34.292,-34.255,-34.257,-34.248,-34.196,-34.221,-34.194,-34.18,-34.218,-34.266,-34.272,-34.276,-34.295,-34.279,-34.288,-34.336,-34.327,-34.314
827,mic-3_fr,18000.0,-35.401,-35.329,-35.217,-35.236,-35.207,-35.209,-35.242,-35.174,-35.131,-35.143,-33.95,-34.084,-34.065,-34.032,-33.99,-33.957,-33.945,-33.9,-33.904,-33.932
828,mic-3_fr,19000.0,-35.491,-35.528,-35.516,-35.535,-35.533,-35.523,-35.528,-35.527,-35.535,-35.543,-35.848,-35.958,-35.905,-35.915,-35.94,-35.916,-35.944,-35.921,-35.954,-35.95
829,mic-3_fr,20000.0,-34.02,-34.045,-34.055,-34.05,-34.112,-34.106,-34.062,-34.069,-34.079,-34.084,-36.649,-36.65,-36.596,-36.595,-36.515,-36.545,-36.536,-36.47,-36.488,-36.487
830,mic-3_fr,21200.0,-36.001,-35.956,-35.945,-35.932,-36.046,-36.045,-35.959,-35.951,-35.952,-35.961,-35.924,-35.906,-35.86,-35.87,-35.813,-35.83,-35.888,-35.84,-35.836,-35.824
831,mic-3_fr,22400.0,-37.142,-37.195,-37.216,-37.212,-37.123,-37.18,-37.309,-37.203,-37.167,-37.25,-40.009,-40.069,-39.919,-40.047,-40.014,-40.074,-39.911,-39.939,-40.128,-40.073
